;after_learning_of_task;tested_task;accuracy
0;6;0;58.56999588012695
1;6;1;58.18000030517578
2;6;2;64.67000579833984
3;6;3;63.160003662109375
4;6;4;61.83000183105469
5;6;5;79.72000122070312
6;6;6;88.3499984741211
7;7;0;47.85000228881836
8;7;1;55.900001525878906
9;7;2;45.82999801635742
10;7;3;40.41999816894531
11;7;4;59.880001068115234
12;7;5;65.2300033569336
13;7;6;63.650001525878906
14;7;7;88.41000366210938
15;8;0;39.63999938964844
16;8;1;49.27000045776367
17;8;2;41.0
18;8;3;43.92000198364258
19;8;4;50.18000030517578
20;8;5;63.5
21;8;6;62.44999694824219
22;8;7;81.76000213623047
23;8;8;88.81000518798828
24;9;0;45.459999084472656
25;9;1;42.65999984741211
26;9;2;37.65999984741211
27;9;3;30.03999900817871
28;9;4;45.18000030517578
29;9;5;50.93000030517578
30;9;6;48.439998626708984
31;9;7;58.679996490478516
32;9;8;67.79000091552734
33;9;9;78.12000274658203
